Versión,Bloque (nxn),Prom (ms),Devest (ms),W
GPU Baseline,32,4.03,0.93,3
GPU v1.0,16,2.04,0.34,3
GPU v1.1,16,1.62,0.32,3
GPU v2.0,N/A,4.07,1.00,3
GPU v2.1,N/A,11.13,2.93,3
GPU v3,16,2.00,0.18,3
GPU v4.0,16,4.55,0.27,3
GPU v4.1,4,8.16,0.20,3
GPU Baseline,16,28.15,1.38,5
GPU v1.0,16,5.58,0.21,5
GPU v1.1,16,2.34,0.28,5
GPU v2.0,N/A,28.33,0.26,5
GPU v2.1,N/A,26.87,0.80,5
GPU v3,32,1.43,0.26,5
GPU v4.0,8,6.66,0.23,5
GPU v4.1,8,8.23,0.08,5
GPU Baseline,4,114.95,3.74,7
GPU v1.0,16,18.15,0.11,7
GPU v1.1,16,5.14,0.30,7
GPU v2.0,N/A,267.21,1.14,7
GPU v2.1,N/A,63.76,2.04,7
GPU v3,32,7.14,0.41,7
GPU v4.0,4,10.78,0.51,7
GPU v4.1,4,9.24,0.36,7
GPU Baseline,4,348.57,4.99,9
GPU v1.0,16,46.20,0.22,9
GPU v1.1,16,11.38,0.14,9
GPU v2.0,N/A,952.15,3.51,9
GPU v2.1,N/A,97.83,2.28,9
GPU v3,8,12.23,0.41,9
GPU v4.0,4,13.46,0.10,9
GPU v4.1,4,9.06,0.19,9
GPU Baseline,16,14086.17,4.99,15
GPU v1.0,16,341.85,0.22,15
GPU v1.1,8,87.19,0.14,15
GPU v1.2,8,94.87,0.14,15
GPU v2.0,N/A,10352.98,3.51,15
GPU v2.1,N/A,1260.17,2.28,15
GPU v4.0,16,28.46,0.10,15
GPU v4.1,8,16.55,0.19,15
