Versión,Bloque (nxn),Prom (ms),Devest (ms),W
GPU Baseline,32,1.79,0.72,3
GPU v1.0,16,0.66,0.01,3
GPU v1.1,8,0.50,0.01,3
GPU v1.2,16,0.72,0.13,3
GPU v2.0,N/A,1.45,0.24,3
GPU v2.1,N/A,4.01,0.71,3
GPU v3,8,0.84,0.06,3
GPU v4.0,16,1.73,0.05,3
GPU v4.1,8,2.93,0.16,3
GPU v4.2,8,2.34,0.22,3
GPU Baseline,8,9.53,0.30,5
GPU v1.0,8,2.00,0.09,5
GPU v1.1,8,0.87,0.01,5
GPU v1.2,16,1.13,0.03,5
GPU v2.0,N/A,8.54,0.31,5
GPU v2.1,N/A,9.35,0.60,5
GPU v3,8,1.41,0.26,5
GPU v4.0,8,2.34,0.25,5
GPU v4.1,4,2.76,0.21,5
GPU v4.2,8,2.85,0.22,5
GPU Baseline,4,37.83,1.79,7
GPU v1.0,32,5.91,0.23,7
GPU v1.1,16,1.67,0.04,7
GPU v1.2,16,1.83,0.18,7
GPU v2.0,N/A,69.59,0.36,7
GPU v2.1,N/A,19.12,0.33,7
GPU v3,32,2.36,0.19,7
GPU v4.0,4,3.44,0.15,7
GPU v4.1,4,2.93,0.31,7
GPU v4.2,16,4.05,0.37,7
GPU Baseline,4,111.34,4.67,9
GPU v1.0,32,15.01,0.30,9
GPU v1.1,8,3.71,0.01,9
GPU v1.2,32,3.66,0.17,9
GPU v2.0,N/A,255.42,0.90,9
GPU v2.1,N/A,29.97,0.81,9
GPU v3,8,3.80,0.07,9
GPU v4.0,4,4.35,0.19,9
GPU v4.1,4,3.08,0.20,9
GPU Baseline,2,275.21,3.78,11
GPU v1.0,8,31.46,0.39,11
GPU v1.1,16,7.65,0.01,11
GPU v1.2,16,7.39,0.19,11
GPU v2.0,N/A,748.84,3.66,11
GPU v2.1,N/A,44.56,1.44,11
GPU v3,4,8.00,0.33,11
GPU v4.0,32,5.31,0.12,11
GPU v4.1,8,6.09,0.20,11
GPU Baseline,2,984.26,5.30,15
GPU v1.0,16,105.50,1.12,15
GPU v1.1,8,26.35,0.03,15
GPU v1.2,8,28.81,0.08,15
GPU v2.0,N/A,3019.14,3.66,15
GPU v2.1,N/A,85.88,2.55,15
GPU v3,2,5.38,0.46,15
GPU v4.0,32,8.89,0.09,15
GPU v4.1,8,4.23,0.21,15
